node_size layer_size library genr_time genr_mem aggr_time aggr_mem total_time
1000 2 multinet 0.722 138416 0.863 2248 1.585
1000 2 muxviz 0.935 81578248 0.144 2903368 1.079
1000 2 py3plex 0.018735885620117188 1405772 0.002084970474243164 109616 0.02082085609436035
1000 2 pymnet 0.5460610389709473 69408 0.0027151107788085938 91488 0.5487761497497559
1000 5 multinet 2.476 147464 2.367 2248 4.843
1000 5 muxviz 0.85 81808688 0.042 2904160 0.892
1000 5 py3plex 0.06259894371032715 4441497 0.011725902557373047 207951 0.0743248462677002
1000 5 pymnet 3.019826889038086 488348 0.02141118049621582 444168 3.0412380695343018
1000 10 multinet 5.25 162544 4.619 2248 9.869
1000 10 muxviz 1.174 82673104 0.031 2905632 1.2049999999999998
1000 10 py3plex 0.16640210151672363 21212029 0.03868508338928223 441215 0.20508718490600586
1000 10 pymnet 11.891739845275879 1732067 0.0699460506439209 819317 11.9616858959198
1000 20 multinet 11.234 192704 8.284 2248 19.518
1000 20 muxviz 1.573 86199920 0.041 2907904 1.6139999999999999
1000 20 py3plex 0.866196870803833 127680087 0.1345970630645752 674604 1.0007939338684082
1000 20 pymnet 47.558659076690674 5845367 0.2156810760498047 2402189 47.77434015274048
1000 50 multinet 32.143 283184 13.155 2248 45.298
1000 50 muxviz 3.043 111183760 0.153 2915712 3.196
1000 50 py3plex 7.218461036682129 1074954292 0.8893322944641113 1150247 8.10779333114624
1000 50 pymnet 324.5593340396881 26490091 0.9969782829284668 11986773 325.5563123226166
1000 100 multinet 66.165 433984 14.62 2248 80.78500000000001
1000 100 muxviz 5.74 200821632 0.884 2928328 6.6240000000000006
1000 100 py3plex 29.144099950790405 4510172996 2.8434410095214844 1675039 31.98754096031189
1000 100 pymnet 0.0 0 0.0 0 0.0
1000 200 multinet 147.103 735584 16.924 2248 164.02700000000002
1000 200 muxviz 13.04 560097544 6.842 2953480 19.881999999999998
1000 200 py3plex 125.14942502975464 18030777572 14.758902788162231 2675631 139.90832781791687
1000 200 pymnet 0.0 0 0.0 0 0.0
1000 500 multinet 7650.335 1640384 76.354 2248 7726.689
1000 500 muxviz 53.547 0 0.0 0 53.547
1000 500 py3plex 0.0 0 0.0 0 0.0
1000 500 pymnet 0.0 0 0.0 0 0.0
1000 1000 multinet 0.0 0 0.0 0 0.0
1000 1000 muxviz 0.0 0 0.0 0 0.0
1000 1000 py3plex 0.0 0 0.0 0 0.0
1000 1000 pymnet 0.0 0 0.0 0 0.0
